trait,model_name,learning_rate,batch_size,fold,pearson_r,r2,rmse,mae,best_epoch
lodging,mlp_b,0.001,16,3,0.8888229446667473,0.7868492201491912,0.7328759748270386,0.5386051191939963,63
lodging,mlp_b,0.001,16,4,0.8820591479852575,0.7722782598621445,0.7603652193276753,0.5579402495074917,96
lodging,mlp_b,0.001,16,5,0.8656871101851191,0.7470317655822045,0.7509666359316886,0.581071122541084,197
lodging,mlp_b,0.001,32,1,0.8783292698163238,0.7132181194804377,0.9051072319423715,0.6806512504547566,56
lodging,mlp_b,0.001,32,2,0.8543715341563849,0.7209923423462361,0.8095665589985628,0.6425699360735782,20
lodging,mlp_b,0.001,32,3,0.8866682092391447,0.7768286642509201,0.7499049638038547,0.5468951844954276,84
lodging,mlp_b,0.001,32,4,0.8717195405497127,0.7583768908857211,0.7832298494714275,0.5758550226151407,40
lodging,mlp_b,0.001,32,5,0.8588962567206727,0.7203514539468319,0.7895759846184417,0.6261139691949965,83
lodging,mlp_b,0.0005,16,1,0.8788137921874025,0.762897383449403,0.822985823413223,0.6172651044420294,63
lodging,mlp_b,0.0005,16,2,0.8503681943684005,0.7185065131371113,0.8131649935130683,0.6448508691680324,13
lodging,mlp_b,0.0005,16,3,0.8900670497869876,0.7789306548206623,0.7463650324548,0.5473108399021733,128
lodging,mlp_b,0.0005,16,4,0.8751779598320206,0.7548098267545793,0.7889900502430519,0.5844573169141203,69
lodging,mlp_b,0.0005,16,5,0.8619485589250444,0.7381984610746973,0.7639654975325484,0.5998436564260775,85
lodging,mlp_b,0.0005,32,1,0.8712167078142401,0.7181235525474716,0.8973328678606788,0.6674476424316028,55
lodging,mlp_b,0.0005,32,2,0.8575731926402198,0.7324517457521005,0.7927669923427066,0.6353883179458412,51
lodging,mlp_b,0.0005,32,3,0.8778534066757675,0.768997650202193,0.7629484950936428,0.5728380900245529,29
lodging,mlp_b,0.0005,32,4,0.8774702309614555,0.7639790399257096,0.7740968184987462,0.5751587415600682,66
lodging,mlp_b,0.0005,32,5,0.8624592035259171,0.7307928457799591,0.774695344837013,0.6178001941324355,71
ramularia_collo_cygni,mlp_a,0.001,16,1,0.2625603334267045,0.017515478077732793,1.1326832910307714,0.8743744293848673,146
ramularia_collo_cygni,mlp_a,0.001,16,2,0.3987714885617236,0.14270067509888174,1.0226998131807745,0.8121007439252492,38
ramularia_collo_cygni,mlp_a,0.001,16,3,0.38163144787319125,0.014968781959762145,1.1273093230826343,0.877689008777206,115
ramularia_collo_cygni,mlp_a,0.001,16,4,0.3454647265223352,0.0635078937570116,1.093566825751453,0.8210826102677766,62
ramularia_collo_cygni,mlp_a,0.001,16,5,0.4464363226917075,0.1309342819052306,1.0067037655673958,0.7832711309463054,115
ramularia_collo_cygni,mlp_a,0.001,32,1,0.24802081894119707,0.03412544273932827,1.1230678592336731,0.8614336144816768,44
ramularia_collo_cygni,mlp_a,0.001,32,2,0.29783123552208196,-0.035120118959824476,1.1237696806449442,0.8996259441246858,43
ramularia_collo_cygni,mlp_a,0.001,32,3,0.3421184167458459,0.08926753527854514,1.0839606344469013,0.8551978619249018,29
ramularia_collo_cygni,mlp_a,0.001,32,4,0.3710939194435357,0.06938897036435221,1.09012767280897,0.8143528141416945,152
ramularia_collo_cygni,mlp_a,0.001,32,5,0.44663174693605084,0.13446591177360023,1.0046562078847088,0.7729521396460833,107
ramularia_collo_cygni,mlp_a,0.0005,16,1,0.20028706215491204,-0.028851117199780285,1.1591026590582545,0.8860461013811128,46
ramularia_collo_cygni,mlp_a,0.0005,16,2,0.3097917148427909,-0.08815643655838556,1.1521992903315976,0.9162887963088783,68
ramularia_collo_cygni,mlp_a,0.0005,16,3,0.2771957213379862,0.05850935297658055,1.1021129525084785,0.861437186464533,32
ramularia_collo_cygni,mlp_a,0.0005,16,4,0.3263178181399399,-0.001736939600433196,1.1310195477287002,0.8532723005827483,160
ramularia_collo_cygni,mlp_a,0.0005,16,5,0.41445951975504364,0.13843533601882618,1.002349834564836,0.7737965935522372,26
