trait,model,run_pca20,run_pca50,pearson_pca20,pearson_pca50,r2_pca20,r2_pca50,rmse_pca20,rmse_pca50,delta_pearson_50_minus_20,delta_r2_50_minus_20,delta_rmse_50_minus_20,winner_pearson,winner_r2,winner_rmse
plant_height,svr_rbf,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,0.7903791176010909,0.7891555067592371,0.6231737013197702,0.6208157409155882,8.797274213093985,8.824755409433171,-0.0012236108418538505,-0.0023579604041820135,0.027481196339186553,pca20,pca20,pca20
plant_height,decision_tree,20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,0.7133059215222992,0.6903543426812659,0.4993907030553266,0.4643372212649743,10.13974381115392,10.488738595776647,-0.02295157884103327,-0.03505348179035234,0.34899478462272704,pca20,pca20,pca20
puccinia_hordei,gradient_boosting,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.6901809405356332,0.7192849302824953,0.4760746959584788,0.5168814637544004,0.8603702599672856,0.8261854707950047,0.029103989746862124,0.04080676779592157,-0.03418478917228085,pca50,pca50,pca50
puccinia_hordei,elasticnet,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,0.6449865952035013,0.6738172590483609,0.4134132158241028,0.4525450484463915,0.910367698793972,0.8794778315766352,0.02883066384485955,0.0391318326222887,-0.030889867217336775,pca50,pca50,pca50
puccinia_hordei,ridge,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,0.6324434941033938,0.6570932152411924,0.3997963906833094,0.4316313884303904,0.920873561025334,0.896119124207652,0.024649721137798508,0.031834997747080984,-0.02475443681768197,pca50,pca50,pca50
puccinia_hordei,xgboost,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,0.6814499462820871,0.7046676320863676,0.4610767461019641,0.4957553275223563,0.8725979020809009,0.8440561956460569,0.02321768580428052,0.03467858142039221,-0.028541706434843994,pca50,pca50,pca50
puccinia_hordei,random_forest,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.6995317096444247,0.7153519339534692,0.4893398223661851,0.511595580797009,0.8494086881614471,0.8306928938451769,0.015820224309044506,0.022255758430823835,-0.01871579431627024,pca50,pca50,pca50
puccinia_hordei,adaboost,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.659450162222452,0.6728474636462509,0.4293709693566269,0.4455192620806003,0.8978993023716512,0.8851032486545122,0.013397301423798913,0.01614829272397339,-0.012796053717138989,pca50,pca50,pca50
puccinia_hordei,svr_rbf,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,0.7023483306495792,0.7070870023091229,0.4910925829907417,0.4976760925513828,0.8479497043873627,0.8424470755532053,0.0047386716595436695,0.0065835095606410765,-0.005502628834157419,pca50,pca50,pca50
puccinia_hordei,svr_linear,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,0.5845248378058352,0.5635545784900253,0.3205779766442967,0.2314765088717933,0.97976182329767,1.042027729890224,-0.02097025931580987,-0.08910146777250341,0.06226590659255404,pca20,pca20,pca20
puccinia_hordei,decision_tree,20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,0.6289976743348548,0.6052433261400866,0.3895887872553949,0.3482522715341458,0.928671150382216,0.9596005008396444,-0.023754348194768182,-0.041336515721249134,0.030929350457428395,pca20,pca20,pca20
ramularia_collo_cygni,ridge,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,0.3100626353533289,0.332084854738055,0.0755888554795082,0.1098317590218871,1.077802334042234,1.0576514795694136,0.022022219384726094,0.03424290354237891,-0.02015085447282039,pca50,pca50,pca50
ramularia_collo_cygni,svr_linear,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,0.2854973555072591,0.3001729249206434,-0.0554326138885081,-0.0077729267137678,1.151653385255745,1.1253506781624276,0.014675569413384326,0.0476596871747403,-0.02630270709331728,pca50,pca50,pca50
ramularia_collo_cygni,elasticnet,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,0.3575054438639063,0.348121688474148,0.1265534241945579,0.1209050870153466,1.0476704792448008,1.0510525178421648,-0.00938375538975833,-0.005648337179211302,0.0033820385973639677,pca20,pca20,pca20
ramularia_collo_cygni,random_forest,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.3461196702291273,0.3298375825073268,0.1130379575490411,0.1042443354741208,1.0557450424350152,1.0609656297568506,-0.01628208772180051,-0.008793622074920293,0.00522058732183539,pca20,pca20,pca20
ramularia_collo_cygni,xgboost,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,0.3182009497067257,0.3010064785641717,0.08132675056208,0.0612457588193008,1.0744521238636329,1.0861317005923898,-0.017194471142554013,-0.0200809917427792,0.011679576728756969,pca20,pca20,pca20
ramularia_collo_cygni,gradient_boosting,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.3343283251404014,0.3168241880756506,0.1116420697868288,0.1003399013676963,1.0565754738106596,1.0632753925075522,-0.01750413706475079,-0.011302168419132494,0.006699918696892571,pca20,pca20,pca20
ramularia_collo_cygni,decision_tree,20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,0.2537597170449932,0.2141412529367533,0.0108585250317859,0.0143838306763016,1.1148995485694086,1.112911021152822,-0.03961846410823994,0.0035253056445157006,-0.0019885274165867273,pca20,pca50,pca50
