representation,trait,model,n_individuos,n_features,cv_outer,cv_inner,pearson_r,pearson_p,rmse,mae,r2,fit_time_s,best_params_mode_outer,run_name,run_path,n_configs_model,fits_por_config,fits_ejecutados_config,cv,r2_norm,pearson_norm,rmse_norm_inv,score_composite,rank_trait
pca20,blumeria_graminis,elasticnet,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.6171768759741976,1.664097728427308e-117,0.9490937599461344,0.6538507155240276,0.3351046359219723,2.8208543000000645,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.1}",45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,,,,,0.39450806462813187,0.2937059239063337,0.3558080892681166,0.34644721326740957,21.0
pca20,blumeria_graminis,ridge,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.5564634667737411,3.000004163498484e-91,1.05783315452491,0.6605776127168009,0.1740202162859759,13.196190599999682,"{""model__alpha"": 100.0}",45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,,,,,0.0,0.0,0.0,0.0,22.0
snp_direct,heading_date,xgboost,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8024063197835223,1.1902223064983716e-250,18.977351224782197,,0.6433398493062897,1705.786745099991,"colsample_bytree=0.1, learning_rate=0.05, max_depth=5, n_estimators=400, reg_lambda=1.0, subsample=0.7",53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",1.0,1.0,1.0,1.0,1.0
snp_direct,heading_date,elasticnet,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8005641948500251,1.1568081659949167e-248,19.04970250486346,,0.6406151266963738,184.6162142000103,"alpha=0.1, l1_ratio=0.1",53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",0.9859495491311163,0.985195107623205,0.9842761418905485,0.9853130910798382,2.0
snp_direct,heading_date,gblup,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7972507952980223,3.857790834136004e-245,19.19990061560429,12.98729048201484,0.6349256175343062,70.76490539999213,"fit_intercept=True, grm=vanraden, jitter=1e-08, optimize_delta=True",54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup,results\snp_blocks_notebook_nested5x3_gblup,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",0.9566107207825825,0.9585657933586222,0.9516340963186688,0.9563974249202156,3.0
snp_direct,heading_date,ridge,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7952181219434242,5.191628517567807e-243,19.29864377949587,,0.6311608796358437,164.90041740000015,alpha=1.0,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",0.9371972712504836,0.942229490806725,0.9301745796858514,0.9378056207600537,4.0
pca20,heading_date,random_forest,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7882798296254394,6.3706925126075165e-236,19.58046944732811,12.650953185142406,0.6203096165365298,944.8232774999924,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}",40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,0.8812410654747546,0.8864674362475391,0.8689263639304663,0.8808686734750107,5.0
pca20,heading_date,xgboost,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7862197770934484,7.206544481159384e-234,19.63793629168321,12.71355186848748,0.6180776345626733,24.61277049999626,"{""model__colsample_bytree"": 0.3, ""model__learning_rate"": 0.05, ""model__max_depth"": 5, ""model__n_estimators"": 400, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.7}",45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,,,,,0.8697315074192751,0.869911091196191,0.8564372897133601,0.8671444973888585,6.0
pca50,heading_date,gradient_boosting,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7855202632593901,3.546946447635745e-233,19.68049548790525,12.670321334226426,0.6164204418961926,2148.5987379,"{""model__learning_rate"": 0.01, ""model__max_depth"": 3, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500, ""model__subsample"": 0.7}",40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,0.8611859387599468,0.8642891994118747,0.8471880440621977,0.8596276640811681,7.0
pca50,heading_date,random_forest,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7854585710776255,4.081037537989542e-233,19.748402497601656,13.345392883806044,0.6137688136081796,1111.9698242000013,"{""model__max_depth"": 15, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}",40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,0.8475124099949698,0.8637933882457015,0.8324300441497686,0.8510083281262224,8.0
