trait,run_name,representation,model,n_individuos,n_features,cv_outer,cv_inner,pearson_r,pearson_p,rmse,mae,r2,fit_time_s,best_params_mode_outer,run_path,n_configs_model,fits_por_config,fits_ejecutados_config,cv,run_model,rank_pearson_trait,delta_pearson_to_best
lodging,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,snp_direct,ridge,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8773082887245263,0.0,0.7614187900438776,,0.7686054125306541,604.4759736999986,alpha=1.0,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",53_snp_direct_legacy::snp_blocks_notebook_nested5x3 | ridge,1.0,0.0
lodging,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,pca50,random_forest,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8732003826219472,0.0,0.7729795255956527,0.5909392225545772,0.7615254722202864,828.2316807999741,"{""model__max_depth"": 15, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",outputs_nested5x3\40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3 | random_forest,3.0,0.004107906102579051
lodging,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,pca20,random_forest,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8725729694930571,0.0,0.7737745871963319,0.5951306115154796,0.7610346456390106,950.093090499984,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}",outputs_nested5x3\40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3 | random_forest,4.0,0.004735319231469193
lodging,54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup,snp_direct,gblup,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8723718291059903,0.0,0.7744385691331145,0.587212508644777,0.7606243536525659,80.40613400000439,"fit_intercept=True, grm=vanraden, jitter=1e-08, optimize_delta=True",results\snp_blocks_notebook_nested5x3_gblup,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup | gblup,5.0,0.004936459618535949
lodging,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,pca20,svr_rbf,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8716079407730642,0.0,0.776363253441289,0.5871921613575761,0.7594330517798089,47.22796560000279,"{""model__C"": 1, ""model__epsilon"": 0.5, ""model__gamma"": ""scale""}",outputs_nested5x3\10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,,,,,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3 | svr_rbf,7.0,0.005700347951462015
lodging,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,pca50,xgboost,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8681550432597918,0.0,0.785656660737437,0.5925105995986044,0.7536391976924317,62.34701839999616,"{""model__colsample_bytree"": 0.3, ""model__learning_rate"": 0.05, ""model__max_depth"": 5, ""model__n_estimators"": 400, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.7}",outputs_nested5x3\45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,,,,,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3 | xgboost,10.0,0.009153245464734505
lodging,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,pca20,xgboost,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8669355306451074,0.0,0.7892568578135121,0.6037926299975298,0.7513761745150503,23.179801499994937,"{""model__colsample_bytree"": 0.3, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 400, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.7}",outputs_nested5x3\45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,,,,,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3 | xgboost,11.0,0.010372758079418842
lodging,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,pca50,svr_rbf,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8662731176032064,0.0,0.790897664457907,0.6015024391561473,0.7503413588828953,13.934697399992729,"{""model__C"": 1, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}",outputs_nested5x3\11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,,,,,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3 | svr_rbf,12.0,0.011035171121319909
lodging,21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,pca50,decision_tree,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8084048118788874,2.8483640780592055e-257,0.9384098411836888,0.697344660089945,0.6485276837611669,200.35026089998428,"{""model__ccp_alpha"": 0.01, ""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}",outputs_nested5x3\21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,,,,,21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3 | decision_tree,21.0,0.06890347684563891
lodging,20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,pca20,decision_tree,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.807281948341925,5.1487315694750127e-256,0.9390809162527196,0.7091228277958084,0.6480248146860629,125.81820109998807,"{""model__ccp_alpha"": 0.001, ""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 5, ""model__min_samples_split"": 2}",outputs_nested5x3\20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,,,,,20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3 | decision_tree,22.0,0.07002634038260125
plant_height,54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup,snp_direct,gblup,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8157712105074558,9.90205479575484e-266,8.2895698850206,6.110733144553868,0.6654130943313126,75.82588360000227,"fit_intercept=True, grm=vanraden, jitter=1e-08, optimize_delta=True",results\snp_blocks_notebook_nested5x3_gblup,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup | gblup,1.0,0.0
plant_height,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,snp_direct,elasticnet,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8106606698220638,8.01102990314925e-260,8.402719838015537,,0.6562167497007332,162.28656469998532,"alpha=0.1, l1_ratio=0.1",results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",53_snp_direct_legacy::snp_blocks_notebook_nested5x3 | elasticnet,2.0,0.005110540685392073
plant_height,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,pca50,random_forest,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7957630677865566,1.4025488707634918e-243,8.702831161110172,6.537820704139651,0.6312211019542431,816.7538175000227,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 300}",outputs_nested5x3\40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3 | random_forest,5.0,0.020008142720899236
plant_height,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,pca20,random_forest,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7935928998807116,2.51314982207208e-241,8.728224173384692,6.530883619506678,0.6290659254177393,713.9215786000132,"{""model__max_depth"": 15, ""model__max_features"": 0.3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",outputs_nested5x3\40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3 | random_forest,6.0,0.022178310626744246
plant_height,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,pca20,svr_rbf,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7903791176010909,4.8727249320147414e-238,8.797274213093985,6.433293797806189,0.6231737013197702,32.895191100018565,"{""model__C"": 100, ""model__epsilon"": 0.5, ""model__gamma"": 0.01}",outputs_nested5x3\10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,,,,,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3 | svr_rbf,8.0,0.025392092906364905
