run_name,trait,model,r2_mean,r2_std,rmse_mean,rmse_std
20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,lodging,decision_tree,0.643659060562911,0.054872269985837885,0.9383029739552577,0.04272727958761145
20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,plant_height,decision_tree,0.4928995787162683,0.01821972130143033,10.137687484559454,0.228300846584314
20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,decision_tree,0.38495803734794887,0.0678437072463258,0.9278815864102707,0.042805769952589896
20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,ramularia_collo_cygni,decision_tree,0.009331653319795661,0.08423682425569178,1.1132310548981628,0.06816910783664352
20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,rhynchosporium,decision_tree,-0.055431947482935416,0.09792136896314309,0.9240154341970708,0.12971050965360534
21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,decision_tree,0.456613321746483,0.039493044502892184,0.8559163764214848,0.03407628726498636
21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,heading_date,decision_tree,0.44548877528594727,0.08307483901297227,23.51297529747996,1.9672507912788453
21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,lodging,decision_tree,0.6439328181564632,0.05294292353650285,0.9379352495342859,0.0333634851194592
21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,plant_height,decision_tree,0.45821481878096365,0.02081692039710315,10.48243351313521,0.4065479265021815
21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,decision_tree,0.34472754979080344,0.06255810790369798,0.958530579645412,0.05064890295365164
21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,ramularia_collo_cygni,decision_tree,0.011505351736906146,0.04140424624503397,1.112219968476099,0.04384179978118429
21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,rhynchosporium,decision_tree,-0.020250903794047842,0.04035545203866136,0.9123858192133081,0.1521010537292968
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,adaboost,0.5043916637784029,0.03282782824510141,0.8178117998817676,0.039604826088422626
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,gradient_boosting,0.5190972848140233,0.025618973030125437,0.8057457204377361,0.03661096299424178
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,random_forest,0.522934459102924,0.011156742269496608,0.802574670135626,0.02668715869280072
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,heading_date,adaboost,0.5311891836041415,0.01995492821204316,21.656786309984508,0.6766870337051345
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,heading_date,gradient_boosting,0.6110333430199043,0.07521968610329283,19.65914191581027,2.0717777724782307
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,heading_date,random_forest,0.6177153155743095,0.07342590976534788,19.493068521267837,2.0661145306185467
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,lodging,adaboost,0.7211327829068562,0.01646283013787531,0.8331746450104841,0.03139409259669124
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,lodging,gradient_boosting,0.7516038438402975,0.027715120674224207,0.7844440619273898,0.01613015038159332
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,lodging,random_forest,0.7586740490871346,0.024137787769108007,0.7736498424886253,0.015533552723825974
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,plant_height,adaboost,0.547661086626033,0.015223764550211781,9.579465935591548,0.3919722412181459
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,plant_height,gradient_boosting,0.617302137189444,0.01579867463766864,8.807474859821344,0.2634362041483999
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,plant_height,random_forest,0.6249617374122155,0.016794698605145354,8.721653561289177,0.3785769038596563
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,adaboost,0.42664257769476943,0.04345588305248248,0.8970422188373257,0.04385223516117776
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,gradient_boosting,0.47394284563925543,0.05114902580005277,0.8590830734510497,0.052598207503591836
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,random_forest,0.4872073533513771,0.059289165012089466,0.8478197086842576,0.05806097108526697
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,ramularia_collo_cygni,adaboost,0.08324014003837607,0.05695563128775318,1.0711072048202752,0.05455990580419996
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,ramularia_collo_cygni,gradient_boosting,0.11009509648729487,0.06387940467052336,1.0552625370624409,0.05887178580144401
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,ramularia_collo_cygni,random_forest,0.11193108029997845,0.08509056877135628,1.0538893082074068,0.06995463415872934
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,rhynchosporium,adaboost,-0.07683397084944556,0.1461667473945226,0.9291711503561793,0.11078445496347442
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,rhynchosporium,gradient_boosting,0.021526911492981842,0.05471730073810778,0.8918319720581774,0.13735146064611625
