run_name,trait,model,r2_mean,r2_std,pearson_mean,pearson_std,rmse_mean,rmse_std,n_folds,r2_cv,pearson_cv,rmse_cv
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,plant_height,gradient_boosting,0.6250713128332714,0.014522797054514194,0.794549326183956,0.012751124344592668,8.719868979932183,0.33514581104744323,5,0.023233824295481525,0.01604824763471072,0.038434730133989896
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,plant_height,random_forest,0.6249617374122155,0.016794698605145354,0.7943380972209062,0.012600615842209964,8.721653561289177,0.3785769038596563,5,0.02687316294704266,0.01586303853018612,0.043406551429646285
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,plant_height,svr_rbf,0.6200494380909201,0.04409751214576587,0.790552273213553,0.026030131197481553,8.77433431019376,0.7098336013857235,5,0.07111934861442402,0.032926514892772936,0.08089885526256504
45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,plant_height,xgboost,0.6175043098617242,0.02839601408332426,0.7897463582605193,0.019235961386478588,8.800931586119535,0.344549375031302,5,0.04598512695349914,0.0243571384473964,0.039149193657488604
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,plant_height,gradient_boosting,0.617302137189444,0.01579867463766864,0.788545166418039,0.012560100517037045,8.807474859821344,0.2634362041483999,5,0.02559309888282499,0.01592819416304486,0.029910525813722687
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,plant_height,svr_rbf,0.6166967421575092,0.04303074461801839,0.7889138439699346,0.027420800716738192,8.808004790581116,0.6076179365153608,5,0.06977618280822374,0.03475766197580277,0.06898474182996814
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,plant_height,xgboost,0.6123358905032115,0.014911857361134442,0.785578668173275,0.008873418246980796,8.865166504368071,0.2790157465426586,5,0.024352414405890904,0.011295391036539178,0.031473266340252166
45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,plant_height,elasticnet,0.6007976439736921,0.04134046994124886,0.7778246853072867,0.027574322489482404,8.993393132900337,0.6322552348001799,5,0.06880930768606525,0.03545056233152194,0.07030219022531263
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,plant_height,svr_linear,0.5965589660812582,0.037806957243158974,0.7753736371383388,0.024278651710193857,9.042929928438744,0.6094444964811613,5,0.06337505492794694,0.031312196529919116,0.06739458353697335
45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,plant_height,ridge,0.5957635020214638,0.04006078471025067,0.7761618101330687,0.026987279664007907,9.050084850144852,0.6097528529364789,5,0.06724276424171985,0.034770172033304604,0.0673753741575936
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,plant_height,elasticnet,0.5657555520740661,0.03755430207829432,0.7558932203136532,0.024848830703684082,9.383686177316283,0.6223403935332615,5,0.06637902525325616,0.03287346682825547,0.06632152671917783
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,plant_height,ridge,0.5630699907590053,0.03681388032933282,0.7558299898760051,0.024758945929634582,9.412496830807953,0.6082571260635131,5,0.06538064704835106,0.03275729497541678,0.06462229278767272
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,plant_height,svr_linear,0.5545342165678198,0.0407795878956039,0.7514015310766845,0.025956008723547204,9.501792837049809,0.6243154846281206,5,0.07353845205080603,0.03454345998783739,0.06570501960364387
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,plant_height,adaboost,0.547661086626033,0.015223764550211781,0.7500036291083283,0.014025205144310323,9.579465935591548,0.3919722412181459,5,0.027797783925092412,0.018700183039093755,0.04091796388792534
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,plant_height,adaboost,0.5399126557204106,0.027461611748407513,0.7485791632902428,0.02296061549025976,9.652561016223094,0.23851237301607736,5,0.05086306360380685,0.03067226101958352,0.024709750356947627
20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,plant_height,decision_tree,0.4928995787162683,0.01821972130143033,0.7131637457948043,0.009921314741604528,10.137687484559454,0.228300846584314,5,0.03696436777017067,0.013911692511160189,0.022520012274203093
21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,plant_height,decision_tree,0.45821481878096365,0.02081692039710315,0.6922056948105298,0.018013802465237098,10.48243351313521,0.4065479265021815,5,0.045430482699107294,0.026023770969072747,0.038783735283677116
