representation,model,trait,pearson_r,r2,rmse,mae,source_file,source_notebook,notes
PCA50,random_forest,blumeria_graminis,0.7317775274792232,0.5354541804784856,0.7933169685663618,0.6134363901078733,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/40_pca50_ensemble_unificado_nested5x3.ipynb,
PCA50,random_forest,puccinia_hordei,0.7153519339534692,0.511595580797009,0.8306928938451769,0.6373185604342461,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/40_pca50_ensemble_unificado_nested5x3.ipynb,
PCA50,random_forest,ramularia_collo_cygni,0.3298375825073268,0.1042443354741208,1.0609656297568506,0.8200397253903149,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/40_pca50_ensemble_unificado_nested5x3.ipynb,
PCA50,random_forest,rhynchosporium,0.2179625199301687,0.0229612946329241,0.9047035457399762,0.568142422416262,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/40_pca50_ensemble_unificado_nested5x3.ipynb,
PCA50,random_forest,heading_date,0.7854585710776255,0.6137688136081796,19.748402497601656,13.345392883806044,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/40_pca50_ensemble_unificado_nested5x3.ipynb,
PCA50,random_forest,lodging,0.8732003826219472,0.7615254722202864,0.7729795255956527,0.5909392225545772,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/40_pca50_ensemble_unificado_nested5x3.ipynb,
PCA50,random_forest,plant_height,0.7957630677865566,0.6312211019542431,8.702831161110172,6.537820704139651,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/40_pca50_ensemble_unificado_nested5x3.ipynb,
PCA50,gradient_boosting,blumeria_graminis,0.7225178857031189,0.52202983634668,0.8046978840023855,0.6261375191828072,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/40_pca50_ensemble_unificado_nested5x3.ipynb,
PCA50,gradient_boosting,puccinia_hordei,0.7192849302824953,0.5168814637544004,0.8261854707950047,0.6369036593434994,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/40_pca50_ensemble_unificado_nested5x3.ipynb,
PCA50,gradient_boosting,ramularia_collo_cygni,0.3168241880756506,0.1003399013676963,1.0632753925075522,0.8225861939433832,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/40_pca50_ensemble_unificado_nested5x3.ipynb,
